"","CPG","WEIGHT","P","gene","TRAIT"
"2203","cg18286285",0.009,4.76e-07,"LDB3","mSmoking"
"2204","cg16165575",0.012,4.78e-07,"-","mSmoking"
"2205","cg10989214",0.024,4.78e-07,"-","mSmoking"
"2207","cg01217984",-0.007,4.79e-07,"HOXA2","mSmoking"
"2208","cg04147593",-0.008,4.79e-07,"SLC16A3","mSmoking"
"2211","cg17160439",0.007,4.8e-07,"NAALADL1","mSmoking"
"2216","cg17261125",0.008,4.85e-07,"LOC254312","mSmoking"
"2217","cg07085632",0.01,4.85e-07,"-","mSmoking"
"2218","cg13649253",0.009,4.85e-07,"NFIX","mSmoking"
"2221","cg13106389",-0.005,4.86e-07,"RUNX3","mSmoking"
"2222","cg05453820",0.006,4.86e-07,"-","mSmoking"
"2226","cg24933758",0.006,4.9e-07,"MESP2","mSmoking"
"2227","cg12170787",-0.006,4.9e-07,"SBNO2","mSmoking"
"2230","cg06583577",0.009,4.93e-07,"SEMA6A","mSmoking"
"2231","cg06647693",-0.008,4.93e-07,"ZFPM1","mSmoking"
"2233","cg03125400",0.011,4.95e-07,"-","mSmoking"
"2234","cg26736341",-0.006,4.95e-07,"TNF","mSmoking"
"2235","cg25063707",0.01,4.96e-07,"-","mSmoking"
"2243","cg11388320",-0.021,5.07e-07,"PRDM8","mSmoking"
"2246","cg10227331",-0.011,5.08e-07,"-","mSmoking"
"2249","cg23598010",0.009,5.09e-07,"-","mSmoking"
"2250","cg12678695",-0.005,5.11e-07,"CALN1","mSmoking"
"2251","cg27583010",-0.007,5.11e-07,"CORO1A;LOC606724","mSmoking"
"2252","cg06012804",-0.01,5.13e-07,"-","mSmoking"
"2253","cg13393782",-0.006,5.14e-07,"PRDM16","mSmoking"
"2256","cg15702185",-0.006,5.17e-07,"MIRLET7A3;LOC400931","mSmoking"
"2258","cg11104712",-0.005,5.19e-07,"C17orf61","mSmoking"
"2260","cg13810727",-0.006,5.2e-07,"RBM33","mSmoking"
"2266","cg01520956",0.011,5.29e-07,"FAM47E","mSmoking"
"2275","cg11562153",-0.008,5.4e-07,"GPX5","mSmoking"
"2277","cg00647658",0.012,5.42e-07,"-","mSmoking"
"2282","cg16641055",-0.008,5.47e-07,"FAM38A","mSmoking"
"2284","cg05621259",0.006,5.53e-07,"IDO2","mSmoking"
"2287","cg00937681",0.012,5.54e-07,"-","mSmoking"
"2289","cg16430279",-0.005,5.56e-07,"TAS1R3","mSmoking"
"2295","cg01052200",0.006,5.68e-07,"-","mSmoking"
"2297","cg22729726",-0.007,5.73e-07,"PRDM16","mSmoking"
"2300","cg15692360",0.008,5.74e-07,"FERMT1","mSmoking"
"2301","cg18178840",0.01,5.76e-07,"-","mSmoking"
"2302","cg03271893",-0.006,5.76e-07,"LZTS2","mSmoking"
"2303","cg13399816",-0.006,5.78e-07,"GNG12","mSmoking"
"2306","cg18073471",-0.016,5.81e-07,"PRDM8","mSmoking"
"2307","cg21747070",-0.005,5.81e-07,"-","mSmoking"
"2310","cg11043251",-0.006,5.83e-07,"RUNX1T1","mSmoking"
"2316","cg04756296",0.004,5.91e-07,"ERI1","mSmoking"
"2319","cg06271128",-0.005,5.94e-07,"PARD3","mSmoking"
"2320","cg20916427",-0.009,5.96e-07,"KATNAL2","mSmoking"
"2330","cg12578100",0.006,6.1e-07,"ZFPM2","mSmoking"
"2332","cg12921275",-0.003,6.12e-07,"MRPL23","mSmoking"
"2336","cg08754067",-0.008,6.16e-07,"SNORD72;RPL37","mSmoking"
"2337","cg12043145",0.008,6.18e-07,"-","mSmoking"
"2341","cg05051606",0.009,6.21e-07,"VWA3A","mSmoking"
"2342","cg02163885",0.012,6.23e-07,"-","mSmoking"
"2351","cg10855531",-0.008,6.34e-07,"-","mSmoking"
"2353","cg21220403",0.007,6.37e-07,"-","mSmoking"
"2355","cg01705036",-0.006,6.4e-07,"-","mSmoking"
"2359","cg18158419",-0.007,6.42e-07,"FIS1","mSmoking"
"2368","cg17756483",0.008,6.55e-07,"RNF160","mSmoking"
"2370","cg27106909",-0.005,6.58e-07,"YPEL3","mSmoking"
"2373","cg04132000",0.005,6.61e-07,"-","mSmoking"
"2375","cg09825327",-0.005,6.66e-07,"TRAF5","mSmoking"
"2377","cg26848524",0.005,6.67e-07,"-","mSmoking"
"2380","cg06374748",0.008,6.73e-07,"TOM1L1","mSmoking"
"2382","cg14552982",0.015,6.79e-07,"EXOSC2","mSmoking"
"2383","cg00888479",-0.003,6.8e-07,"SLC24A3","mSmoking"
"2384","cg26133399",0.011,6.81e-07,"FAM19A2","mSmoking"
"2393","cg21164975",-0.01,6.88e-07,"FOXP4","mSmoking"
"2394","cg05106502",-0.006,6.88e-07,"SKAP1","mSmoking"
"2396","cg19808047",-0.006,6.9e-07,"-","mSmoking"
"2397","cg15261712",0.007,6.91e-07,"CDK6","mSmoking"
"2399","cg17074704",-0.005,6.94e-07,"TGFBR3","mSmoking"
"2400","cg14429919",0.012,6.94e-07,"-","mSmoking"
"2401","cg13626863",0.005,6.95e-07,"H2AFY2","mSmoking"
"2408","cg21951648",0.006,7.02e-07,"-","mSmoking"
"2413","cg16348385",-0.004,7.03e-07,"YPEL3","mSmoking"
"2414","cg05525649",-0.006,7.07e-07,"PBX2","mSmoking"
"2417","cg23960707",-0.006,7.11e-07,"SFRS1","mSmoking"
"2421","cg23471393",0.007,7.15e-07,"-","mSmoking"
"2425","cg00968800",-0.004,7.16e-07,"CCNL2;LOC148413","mSmoking"
"2426","cg00630991",0.012,7.16e-07,"BCL2L14","mSmoking"
"2427","cg26576890",0.01,7.18e-07,"-","mSmoking"
"2431","cg05673966",-0.005,7.23e-07,"-","mSmoking"
"2434","cg03450635",-0.007,7.26e-07,"FAM198B","mSmoking"
"2435","cg07039560",0.013,7.28e-07,"SLC25A2","mSmoking"
"2436","cg05133205",0.012,7.29e-07,"PPT2","mSmoking"
"2440","cg19066391",0.006,7.32e-07,"CCDC71","mSmoking"
"2442","cg26144594",0.005,7.33e-07,"-","mSmoking"
"2444","cg19265480",0.015,7.34e-07,"-","mSmoking"
"2449","cg27284331",0.012,7.46e-07,"-","mSmoking"
"2450","cg00815325",-0.005,7.47e-07,"LONP1","mSmoking"
"2451","cg14092276",0.011,7.48e-07,"DLK1","mSmoking"
"2452","cg06572563",-0.004,7.48e-07,"SBNO2","mSmoking"
"2453","cg12103951",0.009,7.49e-07,"-","mSmoking"
"2456","cg11075561",0.01,7.54e-07,"-","mSmoking"
"2459","cg19713429",-0.007,7.55e-07,"CAPZB","mSmoking"
"2462","cg26257814",0.004,7.61e-07,"FLJ26850","mSmoking"
"2467","cg07563400",0.006,7.68e-07,"ADORA2B","mSmoking"
"2469","cg23894948",0.006,7.73e-07,"SLC7A4","mSmoking"
"2470","cg25488284",-0.006,7.76e-07,"PASK","mSmoking"
"2472","cg09937849",0.006,7.8e-07,"RGS11","mSmoking"
"2474","cg08391745",0.005,7.82e-07,"-","mSmoking"
"2476","cg17139085",-0.01,7.86e-07,"-","mSmoking"
"2480","cg22775789",0.006,7.92e-07,"CS","mSmoking"
"2482","cg16481280",0.009,7.95e-07,"PPT2;PRRT1","mSmoking"
"2487","cg23982212",-0.005,8.03e-07,"-","mSmoking"
"2490","cg01869955",-0.007,8.07e-07,"-","mSmoking"
"2491","cg00524708",0.014,8.07e-07,"PRSS36","mSmoking"
"2494","cg14906103",0.007,8.08e-07,"TMEM33","mSmoking"
"2498","cg07168930",-0.005,8.14e-07,"TCF7L2","mSmoking"
"2502","cg12150022",0.005,8.17e-07,"-","mSmoking"
"2503","cg06376949",0.009,8.17e-07,"IFIT5","mSmoking"
"2504","cg00061031",-0.007,8.18e-07,"ANP32B","mSmoking"
"2505","cg17074431",0.007,8.18e-07,"IGF1R","mSmoking"
"2510","cg22237670",0.008,8.26e-07,"C1orf14","mSmoking"
"2516","cg00827210",-0.007,8.3e-07,"-","mSmoking"
"2517","cg14262740",0.011,8.3e-07,"OR4N5","mSmoking"
"2519","cg02226079",0.011,8.35e-07,"-","mSmoking"
"2523","cg09465703",-0.008,8.4e-07,"JMJD8","mSmoking"
"2528","cg04039799",-0.008,8.48e-07,"NAV2","mSmoking"
"2529","cg01554474",-0.007,8.51e-07,"RAG1AP1","mSmoking"
"2533","cg05390307",0.007,8.59e-07,"FEZ1","mSmoking"
"2535","cg14907788",-0.005,8.62e-07,"GNG7","mSmoking"
"2537","cg00267839",-0.007,8.65e-07,"-","mSmoking"
"2540","cg20401567",-0.008,8.73e-07,"-","mSmoking"
"2544","cg03962527",0.012,8.78e-07,"ADD3","mSmoking"
"2551","cg19332572",0.009,8.88e-07,"LTBP3","mSmoking"
"2556","cg04539705",0.011,8.98e-07,"-","mSmoking"
"2558","cg04284164",0.008,9.03e-07,"-","mSmoking"
"2563","cg03920152",0.013,9.06e-07,"-","mSmoking"
"2565","cg25560398",0.015,9.08e-07,"ECEL1P2","mSmoking"
"2566","cg27320518",0.01,9.09e-07,"MBL1P","mSmoking"
"2567","cg03740612",0.011,9.1e-07,"C2orf34","mSmoking"
"2571","cg25291978",0.003,9.18e-07,"PLAGL1","mSmoking"
"2574","cg24155190",-0.006,9.25e-07,"CSRP1","mSmoking"
"2576","cg25798647",-0.005,9.27e-07,"NCR2","mSmoking"
"2584","cg09560979",-0.005,9.42e-07,"TACC1","mSmoking"
"2587","cg24035898",0.008,9.46e-07,"VSIG8;C1orf204","mSmoking"
"2591","cg26430023",0.008,9.47e-07,"ODZ4","mSmoking"
"2592","cg00530414",-0.008,9.47e-07,"RPS15A","mSmoking"
"2593","cg25257677",0.01,9.48e-07,"SLC39A14","mSmoking"
"2604","cg00088251",-0.01,9.69e-07,"ATAD3A","mSmoking"
"2606","cg04872675",-0.009,9.75e-07,"-","mSmoking"
"2608","cg00418163",-0.011,9.84e-07,"TMTC2","mSmoking"
"2612","cg23238119",0.011,9.88e-07,"C6orf147","mSmoking"
"2613","cg23220823",-0.01,9.88e-07,"CCM2","mSmoking"
"2614","cg04025970",0.012,9.9e-07,"MFHAS1","mSmoking"
"2616","cg19820052",0.004,9.94e-07,"HAPLN2","mSmoking"
"2617","cg23366166",0.008,9.95e-07,"FEZ1","mSmoking"
"2620","cg10523370",0.007,9.96e-07,"GPM6A","mSmoking"
"2621","cg02355304",-0.009,9.96e-07,"MIR589;FBXL18","mSmoking"
"2629","cg15618978",0.004,1.01e-06,"TRIM59","mSmoking"
"2630","cg00259472",0.006,1.01e-06,"FABP6","mSmoking"
"2631","cg05243389",0.008,1.01e-06,"MYEF2","mSmoking"
"2632","cg04250930",-0.005,1.01e-06,"ADORA2A","mSmoking"
"2637","cg22879098",-0.018,1.02e-06,"TPPP","mSmoking"
"2638","cg14700531",0.01,1.02e-06,"-","mSmoking"
"2645","cg11855117",-0.005,1.03e-06,"TGFBR3","mSmoking"
"2646","cg07065756",-0.007,1.03e-06,"MAD1L1","mSmoking"
"2647","cg16177163",-0.01,1.03e-06,"MTERFD1;PTDSS1","mSmoking"
"2648","cg08404702",-0.011,1.03e-06,"TSC2","mSmoking"
"2655","cg17848515",-0.007,1.04e-06,"SMPD4;FAM128B","mSmoking"
"2656","cg26119806",-0.01,1.04e-06,"KCNS3","mSmoking"
"2659","cg11631063",0.009,1.05e-06,"-","mSmoking"
"2660","cg07272042",0.01,1.05e-06,"-","mSmoking"
"2665","cg13612207",0.006,1.06e-06,"MDFI","mSmoking"
"2666","cg03982897",-0.006,1.06e-06,"-","mSmoking"
"2669","cg20117675",0.008,1.07e-06,"DHX16","mSmoking"
"2670","cg13710556",-0.01,1.07e-06,"-","mSmoking"
"2671","cg06353075",0.004,1.07e-06,"IKBIP","mSmoking"
"2672","cg02699829",-0.007,1.07e-06,"TRMT1","mSmoking"
"2677","cg16555417",0.009,1.08e-06,"-","mSmoking"
"2687","cg20629254",0.006,1.1e-06,"-","mSmoking"
"2688","cg02812767",-0.007,1.1e-06,"LOXL1","mSmoking"
"2690","cg11043990",0.004,1.11e-06,"RNF157","mSmoking"
"2693","cg08360599",0.009,1.13e-06,"ZBTB38","mSmoking"
"2694","cg16728651",-0.01,1.13e-06,"-","mSmoking"
"2698","cg04522003",0.01,1.14e-06,"LOC100190938;RAMP2","mSmoking"
"2699","cg21680729",-0.005,1.14e-06,"PEMT","mSmoking"
"2703","cg10619342",0.006,1.15e-06,"LOC390594","mSmoking"
"2704","cg15548613",0.004,1.15e-06,"MAFF","mSmoking"
"2706","cg11613450",0.009,1.16e-06,"PTPRH","mSmoking"
"2711","cg09085932",-0.007,1.17e-06,"GRK5","mSmoking"
"2718","cg16166968",0.01,1.18e-06,"ADAM30","mSmoking"
"2719","cg25939371",0.006,1.18e-06,"BRUNOL6","mSmoking"
"2724","cg01887374",0.012,1.19e-06,"HS6ST1","mSmoking"
"2725","cg20370581",-0.01,1.19e-06,"WBSCR17","mSmoking"
"2726","cg12155969",0.008,1.19e-06,"-","mSmoking"
"2735","cg23370466",0.006,1.21e-06,"-","mSmoking"
"2736","cg01360627",-0.006,1.21e-06,"TNF","mSmoking"
"2737","cg12765382",-0.004,1.21e-06,"-","mSmoking"
"2738","cg16026647",0.007,1.21e-06,"MEIS3P1","mSmoking"
"2739","cg22885014",0.006,1.21e-06,"-","mSmoking"
"2742","cg05802386",-0.006,1.22e-06,"SLC2A1","mSmoking"
"2743","cg18165186",0.007,1.22e-06,"SEMA3B","mSmoking"
"2744","cg01713505",-0.005,1.22e-06,"ANAPC10;ABCE1","mSmoking"
"2745","cg19523667",-0.006,1.22e-06,"ZMIZ2","mSmoking"
"2746","cg12731773",-0.005,1.22e-06,"TSPAN4","mSmoking"
"2750","cg20418529",-0.005,1.23e-06,"-","mSmoking"
"2754","cg23565821",-0.007,1.25e-06,"CUTA","mSmoking"
"2761","cg17986992",0.011,1.26e-06,"VSIG8;C1orf204","mSmoking"
"2762","cg11386011",0.01,1.26e-06,"PPT2;PRRT1","mSmoking"
"2763","cg16604086",-0.005,1.26e-06,"SDSL","mSmoking"
"2765","cg05656688",-0.006,1.27e-06,"RUNX3","mSmoking"
"2766","cg01119831",-0.007,1.27e-06,"MAD1L1","mSmoking"
"2767","cg04094751",-0.005,1.27e-06,"HSPA12B","mSmoking"
"2771","cg05981785",-0.005,1.28e-06,"-","mSmoking"
"2772","cg05129081",0.011,1.28e-06,"TP63","mSmoking"
"2773","cg07043305",0.01,1.28e-06,"ZNF876P","mSmoking"
"2776","cg05627733",-0.009,1.29e-06,"WRB","mSmoking"
"2781","cg19320261",-0.005,1.3e-06,"ROR1","mSmoking"
"2782","cg27373845",0.006,1.3e-06,"-","mSmoking"
"2789","cg05702218",0.011,1.31e-06,"RABGAP1L","mSmoking"
"2790","cg24874254",0.012,1.31e-06,"PRDM1","mSmoking"
"2791","cg27152312",0.017,1.31e-06,"-","mSmoking"
"2802","cg21841620",-0.008,1.34e-06,"ZNF800","mSmoking"
"2803","cg01311102",-0.005,1.34e-06,"PTGES2","mSmoking"
"2804","cg23891487",0.012,1.34e-06,"SOCS2","mSmoking"
"2808","cg26468891",-0.006,1.35e-06,"PTPRJ","mSmoking"
"2809","cg07005506",-0.007,1.35e-06,"KIAA0513","mSmoking"
"2810","cg21736411",-0.006,1.35e-06,"WRB","mSmoking"
"2820","cg25865542",-0.005,1.37e-06,"CMTM7","mSmoking"
"2824","cg12322877",-0.008,1.38e-06,"ASPSCR1","mSmoking"
"2833","cg08626436",0.018,1.39e-06,"BMPR1A","mSmoking"
"2834","cg26868156",-0.006,1.39e-06,"LSP1","mSmoking"
"2839","cg10465839",-0.011,1.4e-06,"IFT140;TMEM204","mSmoking"
"2840","cg08471846",-0.006,1.4e-06,"PTBP1","mSmoking"
"2844","cg23006204",0.009,1.41e-06,"DPM2","mSmoking"
"2847","cg17364949",-0.006,1.42e-06,"AMAC1L3;ZBTB4","mSmoking"
"2850","cg08872493",-0.01,1.43e-06,"HTR1D","mSmoking"
"2851","cg10775231",0.004,1.43e-06,"-","mSmoking"
"2856","cg05888252",0.008,1.44e-06,"-","mSmoking"
"2857","cg14429209",0.014,1.44e-06,"GAD2","mSmoking"
"2859","cg07140497",0.01,1.45e-06,"RASAL1","mSmoking"
"2866","cg27262054",-0.008,1.47e-06,"ZFHX3","mSmoking"
"2868","cg24718827",0.004,1.48e-06,"ANKRD33B","mSmoking"
"2869","cg18057513",0.007,1.48e-06,"NEK5","mSmoking"
"2876","cg16587010",-0.006,1.49e-06,"ACOX2","mSmoking"
"2877","cg08706907",-0.004,1.49e-06,"KIAA0652","mSmoking"
"2878","cg17725019",-0.008,1.49e-06,"PIK3IP1","mSmoking"
"2883","cg10650821",-0.004,1.5e-06,"TNF","mSmoking"
"2887","cg01515508",-0.007,1.51e-06,"CASZ1","mSmoking"
"2888","cg01037823",-0.009,1.51e-06,"ZG16B","mSmoking"
"2889","cg02574073",0.02,1.51e-06,"LOC404266;HOXB6","mSmoking"
"2895","cg18369939",-0.004,1.52e-06,"PRDM16","mSmoking"
"2896","cg19048176",0.007,1.53e-06,"PPT2;PRRT1","mSmoking"
"2901","cg03040622",-0.007,1.55e-06,"MIR589;FBXL18","mSmoking"
"2904","cg14621323",0.007,1.56e-06,"PFN3","mSmoking"
"2913","cg10814005",-0.004,1.58e-06,"GPR68","mSmoking"
"2918","cg09506675",0.016,1.59e-06,"GPR85","mSmoking"
"2925","cg20477259",-0.006,1.6e-06,"TNF","mSmoking"
"2926","cg00785980",0.006,1.6e-06,"N4BP2L1","mSmoking"
"2927","cg04797061",0.008,1.6e-06,"PRSS36","mSmoking"
"2930","cg00091633",0.007,1.61e-06,"FSTL1","mSmoking"
"2931","cg03036210",-0.006,1.61e-06,"SPIRE2","mSmoking"
"2936","cg26361535",-0.006,1.62e-06,"ZC3H3","mSmoking"
"2939","cg00219626",-0.014,1.63e-06,"-","mSmoking"
"2940","cg13541527",-0.011,1.63e-06,"C6orf48;SNORD52","mSmoking"
"2941","cg05073568",-0.001,1.63e-06,"ZNF3","mSmoking"
"2944","cg06934523",-0.005,1.64e-06,"KIAA0247","mSmoking"
"2945","cg00582562",0.012,1.64e-06,"SKAP1","mSmoking"
"2947","cg00476617",0.005,1.65e-06,"CACNB2","mSmoking"
"2950","cg26912602",-0.004,1.66e-06,"IKBKE","mSmoking"
"2951","cg18422587",0.006,1.66e-06,"-","mSmoking"
"2954","cg01022670",0.007,1.67e-06,"DIP2C","mSmoking"
"2963","cg05783384",0.014,1.68e-06,"-","mSmoking"
"2971","cg00000714",-0.005,1.7e-06,"TSEN34","mSmoking"
"2973","cg15777261",-0.007,1.71e-06,"CCT7","mSmoking"
"2974","cg20959174",-0.002,1.71e-06,"TRIP12","mSmoking"
"2986","cg01858866",-0.006,1.75e-06,"PABPC4","mSmoking"
"2987","cg12492273",-0.008,1.75e-06,"MAD1L1","mSmoking"
"2988","cg25537245",-0.004,1.75e-06,"-","mSmoking"
"2991","cg19153828",0.01,1.76e-06,"-","mSmoking"
"2992","cg19029445",-0.01,1.76e-06,"ABR","mSmoking"
"2996","cg19242268",-0.006,1.77e-06,"TCEA2","mSmoking"
"3000","cg17353412",-0.007,1.79e-06,"HOXA2","mSmoking"
"3001","cg26766885",0.016,1.79e-06,"-","mSmoking"
"3003","cg18209323",0.01,1.8e-06,"-","mSmoking"
"3004","cg12403132",-0.01,1.8e-06,"-","mSmoking"
"3010","cg11071448",-0.009,1.81e-06,"SYT2","mSmoking"
"3011","cg19694465",0.011,1.81e-06,"RNF207","mSmoking"
"3012","cg07496545",0.015,1.81e-06,"SLC25A2","mSmoking"
"3013","cg25065097",0.007,1.81e-06,"RCBTB1","mSmoking"
"3015","cg25762679",0.011,1.82e-06,"VCAM1","mSmoking"
"3016","cg19713851",0.012,1.83e-06,"ALPP","mSmoking"
"3023","cg22384188",-0.004,1.84e-06,"ST3GAL3","mSmoking"
"3024","cg08573315",0.008,1.84e-06,"-","mSmoking"
"3028","cg10281889",-0.005,1.86e-06,"ZDHHC1","mSmoking"
"3034","cg07384589",-0.005,1.87e-06,"DPEP1","mSmoking"
"3038","cg22979368",0.008,1.88e-06,"IGFBP2","mSmoking"
"3039","cg09238801",-0.008,1.88e-06,"PNMA1","mSmoking"
"3040","cg22628926",-0.005,1.88e-06,"SLC25A11;RNF167","mSmoking"
"3046","cg14130039",0.006,1.9e-06,"PPT2","mSmoking"
"3047","cg20914572",0.004,1.9e-06,"PRRT1;PPT2","mSmoking"
"3048","cg26343510",0.009,1.9e-06,"P2RY6","mSmoking"
"3051","cg15712177",0.007,1.91e-06,"RUNX3","mSmoking"
"3062","cg07163026",-0.005,1.93e-06,"-","mSmoking"
"3070","cg09892273",0.013,1.94e-06,"SLC6A15","mSmoking"
"3074","cg08209473",-0.003,1.95e-06,"SIAH1","mSmoking"
"3078","cg12207033",0.003,1.97e-06,"AHRR;LOC100310782","mSmoking"
"3079","cg21801165",0.013,1.97e-06,"-","mSmoking"
"3080","cg01017464",-0.004,1.97e-06,"SNORD58A;SNORD58B;RPL17","mSmoking"
"3088","cg21401642",0.01,1.98e-06,"-","mSmoking"
"3096","cg09022230",-0.007,2e-06,"TNRC18","mSmoking"
"3097","cg23129573",-0.015,2e-06,"ELN","mSmoking"
"3101","cg18019132",-0.005,2.01e-06,"NEAT1","mSmoking"
"3102","cg23880589",0.006,2.01e-06,"KCNAB3","mSmoking"
"3107","cg00988037",-0.005,2.02e-06,"SSBP3","mSmoking"
"3110","cg23839159",-0.008,2.03e-06,"CCDC23;ERMAP","mSmoking"
"3111","cg13029400",0.01,2.03e-06,"ZBTB38","mSmoking"
"3114","cg07616871",0.012,2.04e-06,"-","mSmoking"
"3115","cg17496421",0.007,2.04e-06,"-","mSmoking"
"3116","cg13660126",-0.006,2.04e-06,"DIP2C;C10orf108","mSmoking"
"3117","cg17290213",-0.005,2.04e-06,"EHBP1L1","mSmoking"
"3118","cg05799596",-0.006,2.04e-06,"-","mSmoking"
"3119","cg03152121",0.011,2.05e-06,"-","mSmoking"
"3121","cg25936138",-0.006,2.06e-06,"-","mSmoking"
"3122","cg05254747",0.01,2.06e-06,"SLC39A14","mSmoking"
"3124","cg17745339",0.005,2.07e-06,"-","mSmoking"
"3129","cg22150680",-0.006,2.08e-06,"-","mSmoking"
"3130","cg02010763",0.01,2.08e-06,"RORA","mSmoking"
"3145","cg04664126",0.006,2.11e-06,"SCAND3","mSmoking"
"3146","cg10296973",0.01,2.11e-06,"-","mSmoking"
"3151","cg08045906",0.005,2.13e-06,"PPT2;PRRT1","mSmoking"
"3152","cg17076667",-0.005,2.13e-06,"BAG3","mSmoking"
"3154","cg26804595",-0.005,2.14e-06,"FBXL16","mSmoking"
"3155","cg04055490",-0.005,2.14e-06,"-","mSmoking"
"3168","cg17976205",0.011,2.17e-06,"C20orf151","mSmoking"
"3173","cg10064922",0.006,2.18e-06,"DIP2C","mSmoking"
"3178","cg14260083",-0.009,2.19e-06,"RADIL","mSmoking"
"3181","cg19243842",-0.005,2.2e-06,"PRDM16","mSmoking"
"3183","cg18121224",0.014,2.21e-06,"NSD1","mSmoking"
"3184","cg01349903",-0.008,2.21e-06,"WBSCR17","mSmoking"
"3187","cg19337854",-0.005,2.22e-06,"GPC2","mSmoking"
"3188","cg07814318",-0.008,2.22e-06,"KLF13","mSmoking"
"3189","cg07969918",-0.006,2.22e-06,"PIK3IP1","mSmoking"
"3194","cg01833485",-0.01,2.23e-06,"ESRRG","mSmoking"
"3199","cg14292823",-0.004,2.25e-06,"EEF1D;TIGD5","mSmoking"
"3204","cg25842356",0.007,2.27e-06,"MARCH3","mSmoking"
"3211","cg26135172",-0.007,2.28e-06,"-","mSmoking"
"3213","cg16465939",-0.003,2.29e-06,"KCNQ1","mSmoking"
"3214","cg26840970",0.008,2.29e-06,"ZNF19","mSmoking"
"3215","cg12723011",-0.003,2.3e-06,"FGFBP2","mSmoking"
"3216","cg01856645",0.008,2.3e-06,"DMGDH;BHMT2","mSmoking"
"3220","cg26358374",-0.006,2.32e-06,"TRPV4","mSmoking"
"3228","cg06622199",-0.005,2.34e-06,"SEPT9","mSmoking"
"3229","cg12012524",0.007,2.34e-06,"CIRBP;C19orf23","mSmoking"
"3240","cg18332754",-0.002,2.36e-06,"LRP4","mSmoking"
"3253","cg00692780",0.014,2.41e-06,"EPHA4","mSmoking"
"3254","cg27208052",0.007,2.41e-06,"MMP15","mSmoking"
"3255","cg27624319",0.007,2.41e-06,"MAP1LC3A","mSmoking"
"3262","cg11343713",-0.004,2.43e-06,"ADCY1","mSmoking"
"3268","cg03268942",0.008,2.46e-06,"-","mSmoking"
"3269","cg07168556",0.012,2.46e-06,"WFIKKN2","mSmoking"
"3273","cg02899190",-0.002,2.47e-06,"-","mSmoking"
"3277","cg05308504",0.01,2.48e-06,"-","mSmoking"
"3278","cg11122009",-0.01,2.48e-06,"AXIN2","mSmoking"
"3279","cg14944362",-0.007,2.48e-06,"PDYN","mSmoking"
"3283","cg09182189",-0.004,2.5e-06,"NADK","mSmoking"
"3288","cg20460488",0.007,2.51e-06,"ANGPT2;MCPH1","mSmoking"
"3293","cg23991358",0.009,2.53e-06,"-","mSmoking"
"3294","cg07938743",-0.002,2.53e-06,"OTX1","mSmoking"
"3295","cg19228034",0.009,2.53e-06,"-","mSmoking"
"3296","cg10244666",0.006,2.53e-06,"WT1","mSmoking"
"3297","cg08549497",0.009,2.54e-06,"WWOX","mSmoking"
"3298","cg23678254",0.011,2.55e-06,"DLGAP5","mSmoking"
"3299","cg07506795",0.009,2.55e-06,"ZNF19","mSmoking"
"3300","cg15092561",-0.003,2.56e-06,"C21orf33","mSmoking"
"3308","cg07661704",0.011,2.58e-06,"SLC7A11","mSmoking"
"3312","cg04326499",-0.006,2.59e-06,"-","mSmoking"
"3313","cg03133378",0.012,2.59e-06,"-","mSmoking"
"3314","cg23883632",0.009,2.59e-06,"-","mSmoking"
"3318","cg15127733",0.006,2.6e-06,"HSPA12B","mSmoking"
"3321","cg07428004",0.014,2.61e-06,"-","mSmoking"
"3324","cg18897025",0.011,2.62e-06,"TSLP","mSmoking"
"3328","cg06217769",-0.006,2.64e-06,"SMG6","mSmoking"
"3333","cg02905426",0.005,2.68e-06,"FAM76A","mSmoking"
"3334","cg19791262",0.005,2.68e-06,"HK3","mSmoking"
"3335","cg20102045",-0.01,2.7e-06,"MYO16","mSmoking"
"3339","cg18883198",-0.008,2.71e-06,"TMEM57","mSmoking"
"3341","cg26897297",0.008,2.72e-06,"MLNR","mSmoking"
"3345","cg09882118",-0.004,2.73e-06,"TREX1","mSmoking"
"3348","cg11344744",-0.006,2.75e-06,"SEMA4C","mSmoking"
"3349","cg14330585",0.009,2.75e-06,"-","mSmoking"
"3352","cg19999682",0.009,2.77e-06,"-","mSmoking"
"3357","cg05282518",0.013,2.78e-06,"OR4K2","mSmoking"
"3365","cg23911707",0.006,2.81e-06,"BHMT2;DMGDH","mSmoking"
"3366","cg23245942",0.008,2.81e-06,"HOXB9","mSmoking"
"3367","cg23477348",-0.008,2.81e-06,"C21orf33","mSmoking"
"3368","cg00965110",0.01,2.82e-06,"PARN","mSmoking"
"3378","cg01020263",0.011,2.85e-06,"NOD2","mSmoking"
"3382","cg16736679",-0.008,2.86e-06,"ADARB2","mSmoking"
"3383","cg04539476",0.005,2.86e-06,"REM2","mSmoking"
"3387","cg09321403",0.005,2.87e-06,"-","mSmoking"
"3388","cg26374305",0.01,2.87e-06,"MEG3","mSmoking"
"3390","cg16616467",0.014,2.88e-06,"CPNE7","mSmoking"
"3394","cg02556928",-0.01,2.91e-06,"CSF2RB","mSmoking"
"3406","cg06016427",-0.007,2.98e-06,"DCK","mSmoking"
"3409","cg07317017",-0.005,3e-06,"LOXL1","mSmoking"
"3414","cg12155547",-0.008,3.02e-06,"-","mSmoking"
